"<a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">Abacus</a>"|"
A flat slab forming the uppermost member or division of the capital of a column.
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Bar-stayed_girder&amp;action=edit&amp;redlink=1"" class=""new"" title=""Bar-stayed girder (page does not exist)"">Bar-stayed girder</a>"|"
A structural member of inadequate capacity for its load or span that is augmented by one or two steel bars anchored to each bearing end at or above the centroid of the girder to assume the tension forces.  The bar(s) runs down and below the girder and stand off the girder on one or more struts anchored to the girder at its bottom surface.  The struts are sized to accept the compressive forces imposed without bending. The load limit to this member is the crippling capacity (horizontal failure) of the girder.
"
"<a href=""https://en.wikipedia.org/wiki/Bargeboard"" title=""Bargeboard"">Bargeboard</a>"|"
A board fastened to the projecting gables of a roof.
"
"<a href=""https://en.wikipedia.org/wiki/Barrel_vault"" title=""Barrel vault"">Barrel vault</a>"|"
An architectural element formed by the extrusion of a single curve (or pair of curves, in the case of a pointed barrel vault) along a given distance.
"
"<a href=""https://en.wikipedia.org/wiki/Bartizan"" title=""Bartizan"">Bartizan</a>"|"
An overhanging, wall-mounted turret projecting from the walls, usually at the corners, of medieval fortifications or churches.
"
"<a href=""https://en.wikipedia.org/wiki/Basement"" title=""Basement"">Basement</a>"|"
Lowest, subordinate storey of building often either entirely or partially below ground level; the lowest part of classical elevation, below the <a href=""https://en.wikipedia.org/wiki/Piano_nobile"" title=""Piano nobile"">piano nobile</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Basilica"" title=""Basilica"">Basilica</a>"|"
Originally a Roman, large roofed hall erected for transacting business and disposing of legal matters.; later the term came to describe an aisled building with a clerestory. Medieval cathedral plans were a development of the basilica plan type.
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Batement_Lights_(architecture)&amp;action=edit&amp;redlink=1"" class=""new"" title=""Batement Lights (architecture) (page does not exist)"">Batement Lights (architecture)</a>"|"
The lights in the upper part of a perpendicular window, abated, or only half the width of those below.<sup id=""cite_ref-1"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-1"">&#91;1&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Batter_(walls)"" title=""Batter (walls)"">Batter (walls)</a>"|"
Upwardly receding slope of a wall or column.
"
"<a href=""https://en.wikipedia.org/wiki/Battlement"" title=""Battlement"">Battlement</a>"|"
A parapet (i.e., a defensive low wall between chest-height and head-height), in which rectangular gaps or indentations occur at intervals to allow for the discharge of arrows or other missiles.
"
"<a href=""https://en.wikipedia.org/wiki/Bay_(architecture)"" title=""Bay (architecture)"">Bays</a>"|"
Internal compartments of a building; each divided from the other by subtle means such as the boundaries implied by divisions marked in the side walls (columns, pilasters, etc.) or the ceiling (beams, etc.). Also external divisions of a building by fenestration (windows).
"
"<a href=""https://en.wikipedia.org/wiki/Bay_window"" title=""Bay window"">Bay window</a>"|"
Window of one or more storeys projecting from the face of a building. <a href=""https://en.wikipedia.org/w/index.php?title=Canted_window&amp;action=edit&amp;redlink=1"" class=""new"" title=""Canted window (page does not exist)"">Canted</a>: with a straight front and angled sides. <a href=""https://en.wikipedia.org/wiki/Bow_window"" title=""Bow window"">Bow window</a>: curved. <a href=""https://en.wikipedia.org/wiki/Oriel_window"" title=""Oriel window"">Oriel</a>: rests on corbels or brackets and starts above ground level; also the bay window at the dais end of a medieval <a href=""https://en.wikipedia.org/wiki/Great_hall"" title=""Great hall"">great hall</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Bell_tower"" title=""Bell tower"">Belfry</a> <span id=""Belfry""></span><span id=""Bell_tower""></span>"|"
Chamber or stage in a tower where bells are hung. The term is also used to describe the manner in which bricks are laid in a wall so that they interlock.
"
"<a href=""https://en.wikipedia.org/wiki/Bench_table"" title=""Bench table"">Bench table</a>"|"
Stone seat which runs round the walls of large churches, and sometimes round the piers; it very generally is placed in the porches.
"
"<a href=""https://en.wikipedia.org/wiki/Brickwork"" title=""Brickwork"">Bond</a>"|"
Brickwork with overlapping bricks. Types of bond include stretcher, English, header, Flemish, garden wall, herringbone, basket, American, and Chinese.
"
"<a href=""https://en.wikipedia.org/wiki/Boss_(architecture)"" title=""Boss (architecture)"">Boss</a>"|"
<dd class=""glossary"">1.&#160;&#160;Roughly cut stone set in place for later carving.</dd>
<dd class=""glossary"">2.&#160;&#160;An ornamental projection, a carved <a href=""https://en.wikipedia.org/wiki/Keystone_(architecture)"" title=""Keystone (architecture)"">keystone</a> of a <a href=""https://en.wikipedia.org/wiki/Ribbed_vault"" class=""mw-redirect"" title=""Ribbed vault"">ribbed vault</a> at the intersection of the <a href=""https://en.wikipedia.org/wiki/Ogive"" title=""Ogive"">ogives</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Bossage"" title=""Bossage"">Bossage</a>"|"
Uncut stone that is laid in place in a building, projecting outward from the building, to later be carved into decorative moldings, capitals, arms, etc. Bossages are also <a href=""https://en.wiktionary.org/wiki/Rustic"" class=""extiw"" title=""wiktionary:Rustic"">rustic</a> work, consisting of stones which seem to advance beyond the surface of the building, by reason of indentures, or channels left in the joinings; used chiefly in the corners of buildings, and called rustic <a href=""https://en.wikipedia.org/wiki/Quoin_(architecture)"" class=""mw-redirect"" title=""Quoin (architecture)"">quoins</a>. The cavity or indenture may be round, square, chamfered, beveled, diamond-shaped, or enclosed with a <a href=""https://en.wikipedia.org/wiki/Cavetto"" title=""Cavetto"">cavetto</a> or <a href=""https://en.wikipedia.org/wiki/Listel"" class=""mw-redirect"" title=""Listel"">listel</a>.<sup id=""cite_ref-Cyclopaedia-1728_2-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-Cyclopaedia-1728-2"">&#91;2&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Boutant&amp;action=edit&amp;redlink=1"" class=""new"" title=""Boutant (page does not exist)"">Boutant</a>"|"
Type of support. An <a href=""https://en.wikipedia.org/wiki/Arc-boutant"" class=""mw-redirect"" title=""Arc-boutant"">arc-boutant</a>, or flying buttress, serves to sustain a vault, and is self-sustained by some strong wall or massive work. A pillar boutant is a large chain or jamb of stone, made to support a wall, terrace, or vault. The word is French, and comes from the verb <i>bouter</i>, ""to butt"" or ""abut"".<sup id=""cite_ref-3"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-3"">&#91;3&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Bracket_(architecture)"" title=""Bracket (architecture)"">Bracket</a> (see also <a href=""https://en.wikipedia.org/wiki/Corbel"" title=""Corbel"">corbel</a>)"|"
Weight-bearing member made of wood, stone, or metal that overhangs a wall.
"
"<a href=""https://en.wikipedia.org/wiki/Bressummer"" title=""Bressummer"">Bressummer</a>"|"
(literally ""breast- beam"") – Large, horizontal beam supporting the wall above, especially in a jettied building.
"
"<a href=""https://en.wikipedia.org/wiki/Brise_soleil"" title=""Brise soleil"">Brise soleil</a>"|"
Projecting fins or canopies which shade windows from direct sunlight.
"
"<a href=""https://en.wikipedia.org/wiki/Oeil-de-Boeuf"" class=""mw-redirect"" title=""Oeil-de-Boeuf"">Bullseye window</a>"|"
Small oval window, set horizontally.
"
"<a href=""https://en.wikipedia.org/wiki/Bulwark_(disambiguation)"" class=""mw-redirect mw-disambig"" title=""Bulwark (disambiguation)"">Bulwark</a>"|"
<a href=""https://en.wikipedia.org/wiki/Barricade"" title=""Barricade"">Barricade</a> of <a href=""https://en.wikipedia.org/wiki/Beam_(structure)"" title=""Beam (structure)"">beams</a> and <a href=""https://en.wikipedia.org/wiki/Soil"" title=""Soil"">soil</a> used in 15th- and 16th-century <a href=""https://en.wikipedia.org/wiki/Fortification"" title=""Fortification"">fortifications</a> designed to mount <a href=""https://en.wikipedia.org/wiki/Artillery"" title=""Artillery"">artillery</a>. On board <a href=""https://en.wikipedia.org/wiki/Ship"" title=""Ship"">ships</a> the term refers to the <a href=""https://en.wikipedia.org/wiki/Woodwork"" class=""mw-redirect"" title=""Woodwork"">woodwork</a> running round the ship above the level of the <a href=""https://en.wikipedia.org/wiki/Deck_(ship)"" title=""Deck (ship)"">deck</a>. Figuratively it means anything serving as a defence. Dutch loanword; Bolwerk
"
"<a href=""https://en.wikipedia.org/wiki/Buttress"" title=""Buttress"">Buttress</a>"|"
Vertical member projecting from a wall to stabilize it or to resist the lateral thrust of an arch, roof, or vault. A <a href=""https://en.wikipedia.org/wiki/Flying_buttress"" title=""Flying buttress"">flying buttress</a> transmits the thrust to a heavy abutment by means of an <a href=""https://en.wikipedia.org/wiki/Arch"" title=""Arch"">arch</a> or half-arch.
"
"<a href=""https://en.wikipedia.org/wiki/Cancellus"" class=""mw-redirect"" title=""Cancellus"">Cancellus</a>"|"
(plural: Cancelli) Barriers which correspond to the modern balustrade or railing, especially the screen dividing the body of a church from the part occupied by the ministers hence chancel. The Romans employed cancelli to partition off portions of the courts of law.<sup id=""cite_ref-4"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-4"">&#91;4&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Cantilever"" title=""Cantilever"">Cantilever</a>"|"
An unsupported overhang acting as a lever, like a flagpole sticking out of the side of a wall.
"
"<a href=""https://en.wikipedia.org/wiki/Capital_(architecture)"" title=""Capital (architecture)"">Capital</a>"|"
The topmost member of a column (or pilaster).

<div class=""thumb tright""><div class=""thumbinner"" style=""width:222px;""><a href=""https://en.wikipedia.org/wiki/File:Porch_of_Maidens.jpg"" class=""image""><img alt="""" src=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Porch_of_Maidens.jpg/220px-Porch_of_Maidens.jpg"" decoding=""async"" width=""220"" height=""147"" class=""thumbimage"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Porch_of_Maidens.jpg/330px-Porch_of_Maidens.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Porch_of_Maidens.jpg/440px-Porch_of_Maidens.jpg 2x"" data-file-width=""3519"" data-file-height=""2345"" /></a>  <div class=""thumbcaption""><div class=""magnify""><a href=""https://en.wikipedia.org/wiki/File:Porch_of_Maidens.jpg"" class=""internal"" title=""Enlarge""></a></div>The Caryatid Porch of the <a href=""https://en.wikipedia.org/wiki/Erechtheion"" title=""Erechtheion"">Erechtheion</a>, <a href=""https://en.wikipedia.org/wiki/Athens"" title=""Athens"">Athens</a>, 421–407 BC</div></div></div>"
"<a href=""https://en.wikipedia.org/wiki/Caryatid"" title=""Caryatid"">Caryatid</a>"|"
A sculpted female figure serving as an architectural support taking the place of a column or a pillar supporting an entablature on her head.
"
"<a href=""https://en.wikipedia.org/wiki/Casement_window"" title=""Casement window"">Casement window</a>"|"
Window hung vertically, hinged one side, so that it swings inward or outward.
"
"Cauliculus, or caulicole <span id=""cauliculus""></span><span id=""caulicole""></span>"|"
Stalks (eight in number) with two leaves from which rise the helices or spiral scrolls of the <a href=""https://en.wikipedia.org/wiki/Corinthian_capital"" class=""mw-redirect"" title=""Corinthian capital"">Corinthian capital</a> to support the <a href=""https://en.wikipedia.org/wiki/Abacus"" title=""Abacus"">abacus</a>.<sup id=""cite_ref-5"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-5"">&#91;5&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">Cella</a>"|"
The inner chamber of a temple in classical architecture.
"
"Chalcidicum"|"
In Roman architecture, the vestibule or portico of a public building opening on to the forum, as in the basilica of Eumachia at Pompeii, and the basilica of Constantine at Rome, where it was placed at one end. See: Lacunar.<sup id=""cite_ref-6"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-6"">&#91;6&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Chancel"" title=""Chancel"">Chancel</a> (also Presbytery) <span id=""chancel""></span><span id=""presbytery""></span>"|"
In church architecture, the space around the altar at the east end of a traditional Christian church building, including the choir and sanctuary.
"
"<a href=""https://en.wikipedia.org/wiki/Chandrashala"" class=""mw-redirect"" title=""Chandrashala"">Chandrashala</a>"|"
The circular or horseshoe arch that decorates  many Indian cave temples and shrines.
"
"<a href=""https://en.wikipedia.org/wiki/Chimera_(architecture)"" class=""mw-redirect"" title=""Chimera (architecture)"">Chimera</a>"|"
Chimera, as an architectural feature, means a fantastic, mythical or grotesque figure used for decorative purposes.
"
"<a href=""https://en.wikipedia.org/wiki/Chimney"" title=""Chimney"">Chimney</a>"|"
A structure which provides ventilation.
"
"Chresmographion"|"
Chamber between the pronaos and the <a href=""https://en.wikipedia.org/wiki/Cella"" title=""Cella"">cella</a> in Greek temples where oracles were delivered.<sup id=""cite_ref-7"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-7"">&#91;7&#93;</a></sup>
"
"Cincture"|"
Ring, list, or <a href=""https://en.wikipedia.org/wiki/Annulet_(architecture)"" title=""Annulet (architecture)"">fillet</a> at the top and bottom of a column, which divides the shaft from the capital and base.<sup id=""cite_ref-8"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-8"">&#91;8&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Cinquecento"" title=""Cinquecento"">Cinquecento</a>"|"
Style which became prevalent in Italy in the century following 1500, now usually called 16th-century work. It was the result of the revival of classic architecture known as Renaissance, but the change had commenced already a century earlier, in the works of <a href=""https://en.wikipedia.org/wiki/Lorenzo_Ghiberti"" title=""Lorenzo Ghiberti"">Ghiberti</a> and <a href=""https://en.wikipedia.org/wiki/Donatello"" title=""Donatello"">Donatello</a> in sculpture, and of <a href=""https://en.wikipedia.org/wiki/Filippo_Brunelleschi"" title=""Filippo Brunelleschi"">Brunelleschi</a> and <a href=""https://en.wikipedia.org/wiki/Leone_Battista_Alberti"" class=""mw-redirect"" title=""Leone Battista Alberti"">Alberti</a> in architecture.<sup id=""cite_ref-9"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-9"">&#91;9&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Cippus"" title=""Cippus"">Cippus</a>"|"
(plural: cippi) A low, round or rectangular pedestal set up by the Romans for military purposes such as a milestone or a boundary post. The inscriptions on some cippi in the British Museum show that they were occasionally used as funeral memorials.<sup id=""cite_ref-10"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-10"">&#91;10&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Circulation_(architecture)"" title=""Circulation (architecture)"">Circulation</a>"|"
Describes the flow of people throughout a building.
"
"Cleithral"|"
Term applied to a covered Greek temple, in contradistinction to <a href=""https://en.wikipedia.org/wiki/Hypaethral"" title=""Hypaethral"">hypaethral</a>, which designates one that is uncovered; the roof of a cleithral temple completely covers it.<sup id=""cite_ref-11"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-11"">&#91;11&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Clerestory"" title=""Clerestory"">Clerestory</a>"|"
Upper part of the nave of a large church, containing a series of windows.
"
"<a href=""https://en.wikipedia.org/wiki/Coffer"" title=""Coffer"">Coffer</a>"|"
A <a href=""https://en.wikipedia.org/wiki/Coffer"" title=""Coffer"">coffer</a>, in architecture, is a sunken panel in the shape of a square, rectangle, or octagon that serves as a decorative device, usually in a ceiling or vault. Also called caissons, or lacunar.<sup id=""cite_ref-FOOTNOTEChing199530_12-0"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-FOOTNOTEChing199530-12"">&#91;12&#93;</a></sup>
"
"Colarin or <a href=""https://en.wikipedia.org/wiki/Hypotrachelium"" title=""Hypotrachelium"">Hypotrachelium</a>"|"
(also colarino, collarino, or hypotrachelium) The little frieze of the capital of the Tuscan and Doric column placed between the astragal, and the annulets. It was called <a href=""https://en.wikipedia.org/wiki/Hypotrachelium"" title=""Hypotrachelium"">hypotrachelium</a> by <a href=""https://en.wikipedia.org/wiki/Vitruvius"" title=""Vitruvius"">Vitruvius</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Column"" title=""Column"">Column</a>"|"
A structural element that transmits, through compression, the weight of the structure above to other structural elements below.
"
"<a href=""https://en.wikipedia.org/wiki/Compluvium"" class=""mw-redirect"" title=""Compluvium"">Compluvium</a>"|"
Latin term for the open space left in the roof of the <a href=""https://en.wikipedia.org/wiki/Atrium_(architecture)"" title=""Atrium (architecture)"">atrium</a> of a Roman house (<a href=""https://en.wikipedia.org/wiki/Domus"" title=""Domus"">domus</a>) for lighting it and the rooms round.<sup id=""cite_ref-13"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-13"">&#91;13&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Coping_(architecture)"" title=""Coping (architecture)"">Coping</a>"|"
The capping or covering of a wall.
"
"<a href=""https://en.wikipedia.org/wiki/Corbel"" title=""Corbel"">Corbel</a>"|"
A structural piece of stone, wood or metal jutting from a wall to carry a superincumbent weight.
"
"<a href=""https://en.wikipedia.org/wiki/Corinthian_order"" title=""Corinthian order"">Corinthian order</a>"|"
One of the three <a href=""https://en.wikipedia.org/wiki/Classical_order"" title=""Classical order"">orders</a> or organisational systems of Ancient Greek or classical architecture characterised by columns which stood on the flat pavement of a temple with a base, their vertical shafts fluted with parallel concave grooves topped by a <a href=""https://en.wikipedia.org/wiki/Capital_(architecture)"" title=""Capital (architecture)"">capital</a> decorated with <a href=""https://en.wikipedia.org/wiki/Acanthus_(ornament)"" title=""Acanthus (ornament)"">acanthus</a> leaves, that flared from the column to meet an <a href=""https://en.wikipedia.org/wiki/Abacus_(architecture)"" title=""Abacus (architecture)"">abacus</a> with concave sides at the intersection with the horizontal beam that they carried.
"
"<a href=""https://en.wikipedia.org/wiki/Cornice"" title=""Cornice"">Cornice</a>"|"
Upper section of an entablature, a projecting shelf along the top of a wall often supported by brackets or <a href=""https://en.wikipedia.org/wiki/Corbel"" title=""Corbel"">corbels</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Cresting_(architecture)"" title=""Cresting (architecture)"">Cresting</a>"|"
Ornamentation along the ridge of a roof.
"
"Cross Springer"|"
Block from which the diagonal ribs of a vault spring or start.  The top of the springer is known as the skewback.<sup id=""cite_ref-14"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-14"">&#91;14&#93;</a></sup>
"
"<a href=""https://en.wikipedia.org/wiki/Cross-wing"" title=""Cross-wing"">Cross-wing</a>"|"
Wing attached to a main or original house block, its axis at right angles to the original block, and often gabled.
"
"<a href=""https://en.wikipedia.org/wiki/Crypt"" title=""Crypt"">Crypt</a>"|"
stone chamber beneath the floor of a church or other building. It typically contains <a href=""https://en.wikipedia.org/wiki/Coffin"" title=""Coffin"">coffins</a>, <a href=""https://en.wikipedia.org/wiki/Sarcophagus"" title=""Sarcophagus"">sarcophagi</a>, or <a href=""https://en.wikipedia.org/wiki/Relic"" title=""Relic"">religious relics</a>.
"
"<a href=""https://en.wikipedia.org/wiki/Cryptoporticus"" title=""Cryptoporticus"">Cryptoporticus</a>"|"
Concealed or covered passage, generally underground, though lighted and ventilated from the open air. One of the best-known examples is the crypto-porticus under the palaces of the Caesars in Rome. In Hadrians villa in Rome they formed the principal private intercommunication between the several buildings.<sup id=""cite_ref-15"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-15"">&#91;15&#93;</a></sup>
"
"Cuneus"|"
A wedge-shaped division of the Roman theatre separated by the <i>scalae</i> or stairways.<sup id=""cite_ref-16"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-16"">&#91;16&#93;</a></sup> This shape also occurred in medieval architecture.
"
"<a href=""https://en.wikipedia.org/wiki/Cupola"" title=""Cupola"">Cupola</a>"|"
A small, most often dome-like, structure on top of a building.
"
"Cyrto-style"|"
A circular projecting portico with columns.<sup id=""cite_ref-17"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-17"">&#91;17&#93;</a></sup>
"
"Denticulation (architecture)"|"
Finely toothed or notched; having <a href=""https://en.wikipedia.org/wiki/Dentil"" title=""Dentil"">dentils</a> (a dentil is one of a series of small rectangular blocks projecting from a molding or beneath a cornice).
<sup id=""cite_ref-18"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-18"">&#91;18&#93;</a></sup>
"
"Diastyle"|"
Term used to designate an <a href=""https://en.wikipedia.org/wiki/Intercolumniation"" title=""Intercolumniation"">intercolumniation</a> of three or four diameters.<sup id=""cite_ref-19"" class=""reference""><a href=""https://en.wikipedia.org/wiki/Glossary_of_architecture#cite_note-19"">&#91;19&#93;</a></sup>
"
